VINCA OPEN TRIP SCHEDULE 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AVAILABLE,HOLD,BOOK,,"NOTE : Shared trip dates may be utilized for private bookings if all rooms remain unoccupied
"BALINESE I   6,500,000/pax       Lower Deck",BOOK VC 2511,BOOK VC2811,BOOK V128,,BOOK VC3001,BOOK VC2311,BOOK V101,BOOK V101,,BOOK V128,BOOK V136,BOOK VC0103,BOOK V113,BOOK V102,BOOK V101,BOOK V102,BOOK VC2001,BOOK V128,BOOK VC 1811,BOOK VC1701,BOOK V130,BOOK V102,BOOK V1310,BOOK V137,BOOK VC1302,BOOK V128,BOOK V128,BOOK V112,BOOK V128,,BOOK V128,BOOK V126,BOOK VC1212,BOOK V141,BOOK V127,BOOK V130,BOOK V128,BOOK V102,BOOK V128,BOOK VC0307,BOOK VC2003,BOOK VC0402,BOOK V101,BOOK VC0402,BOOK V128,BOOK V136,BOOK V101,BOOK V101,BOOK V102,BOOK V139,BOOK V102,BOOK V102,BOOK VC0802,BOOK V128,BOOK V128,BOOK V128,BOOK V160,BOOK VC1504,BOOK V140,BOOK V2305,HOLD SLC,BOOK VC1004,BOOK V101,BOOK V128,BOOK V112,BOOK VC1303,BOOK V128,BOOK VC0207,BOOK V102,BOOK V124,BOOK VC0109, ,,,,,BOOK VC2208,,,,,,,,,,,HOLD KLX
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BALINESE II   6,500,000/pax       Lower Deck",BOOK V128,BOOK VC0201,BOOK VC0901,,BOOK V119,BOOK VC0702,BOOK V101,,,BOOK V128,BOOK V136,BOOK VC2003,BOOK V113,BOOK V136,BOOK V116,BOOK VC0303,BOOK VC2001,BOOK V128,BOOK VC 1811,BOOK V128,BOOK VC1802,BOOK V128,BOOK V1310,BOOK VC1103,BOOK VC1003,BOOK V128,BOOK V128,,,,BOOK V128,BOOK V126,BOOK VC0705,BOOK VC1305,BOOK V127,BOOK V116,BOOK VC2205,BOOK V142,BOOK V128,BOOK V112,BOOK V112,BOOK V128,BOOK V128,BOOK VC2104,BOOK V150,BOOK VC2202,BOOK VC1004,BOOK V150,BOOK V102,BOOK VC2306,BOOK VC1703,BOOK  VC2203,BOOK V112,BOOK V161,BOOK V102,BOOK VC1405,BOOK V102,BOOK V128,BOOK V124,BOOK V157,,BOOK V120,BOOK VC0508,BOOK VC0208,BOOK V127,BOOK VC1303,HOLD SEEK,HOLD SEEK.,HOLD ISA.,BOOK V128,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,,Open Trip in Weekdays,,Open Trip in Weekdays,,Booked Private Trip,,Open Trip in Weekdays,,Booked Private Trip,,Booked Private Trip,,Open Trip in Weekdays,,Booked Private Trip,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,Booked Private Trip,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAFFLES CRUISE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Cabin,,,,,,,,7-9 MAR,10-12 MAR,14-16 MAR,17-19 MAR,21-23 MAR,28-30 MAR,4-6 APR, 7-9 APR,12 Apr, 14-16 APR,18-20 APR, 21-23 APR,25-27 APR,29 APR-1 MAY,2-4 MAY,5-7 MAY,9-11 MAY, 12-14 MAY,16-18 MAY,19-21 MAY,23-25 MAY,27-29 MAY,30-31 MAY,1-3 JUN,6-8 JUN,10-12 JUN,13-15 JUN, 16-18 JUN,20-22 JUN,23-25 JUN,27-29 JUN, 30 JUN - 2 JUL,4-6 JUL,7-9 JUL,11-13 JUL, 14-16 JUL,18-20 JUL,21-23 JUL,25-27 JUL,1-3 AUG,4-6 AUG,8-10 AUG,11-13 AUG,15-17 AUG,18-20 AUG,22-24 AUG,25-27 AUG,29-31 AUG,1-3 SEPT,5-7 SEPT,8-10 SEPT,12-14 SEPT,15-17 SEPT,19-21 SEPT,22-24 SEPT,26-28 SEPT,29 SEPT-1 OCT,3-5 OCT, 6-8 OCT,10-12 OCT,13-15 OCT,17-19 OCT,24-26 OCT,27-29 OCT,31 OCT-2 NOV,3-5 NOV,7-9 NOV,10-12 NOV,14-16 NOV,17-19 NOV,21-23 NOV,24-26 NOV,28-30 NOV,1-3 DEC,5-7 DEC,8-10 DEC,12-14 DEC,15-17 DEC,19-21 DEC,23-25 DEC,26-28 DEC
"MALACCA I                  11,000,000/Pax             Upper Deck                     Master Jacuzzi        Balcony",,,,,,,,NOT AVAILABLE,,,,,,,,BOOK VC1104,,BOOK V117,BOOK V130,BOOK VC1904,Maintenance,BOOK VC1504,BOOK V112,BOOK V112,,BOOK VC0505,BOOK VC1004,BOOK V112,BOOK V110,BOOK VM,BOOK VC1404,BOOK V151,BOOK V144,BOOK VC0705,BOOKV136,BOOK V145,BOOK VC1104,BOOK V112,BOOK V155,BOOK VC2804,BOOK V145,BOOK VC2804,BOOK VC2404,BOOK VC0905,BOOK VC2705,BOOK V112,BOOK V143,BOOK V112,BOOK V136,BOOK V102,BOOK V112,BOOK V112,BOOK V112,BOOK V110,BOOK V112,BOOK V143,BOOK V112,BOOK V112,BOOK V101,BOOK V112,BOOK V166,BOOK V112,BOOK V137,BOOK V112,BOOK V144,BOOK V161,BOOK V112,BOOK V161,BOOK V162,BOOK V112,BOOK V172,BOOK VC0108,BOOK VC2508,,,,AVAILABLE FOR PRIVATE,HOLD OCE,,,,,,,AVAILABLE FOR PRIVATE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MALACCA II       10,000,000/Pax                                  Main Deck                Master Bathtub         Balcony",,,,,,,,,,,,,,,,BOOK VC1104,,BOOK VC0904,,BOOK V148,,BOOK V144,BOOK V131,BOOK V112,,BOOK V152,BOOK BEN,BOOK V159,,,,BOOK V157,BOOK V143,BOOK V161,BOOK V112,BOOK V112,,BOOK V153,BOOK V160,BOOK V142,BOOK V145,BOOK V145,BOOK V112,BOOK VC0906,BOOK V112,BOOK V169,BOOK VC3107,BOOK V118,BOOK VC2404,BOOK V102,BOOK V110,BOOK V112,BOOK V112,BOOK V149,BOOK V136,BOOK V130,BOOK VC0705,BOOK V161,BOOK V101,BOOK V107,BOOK VC1007,BOOK V137,BOOK VC1707,BOOK V112,BOOK VC1607,BOOK V102,BOOK V112,BOOK VC0508,BOOK VC2407,BOOK V155,BOOK V102,HOLD VELV.,BOOK VC1708,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BORNEO I          8,500,000/Pax                                Upper Deck                   Deluxe",,,,,,,,,,,,,,,,BOOK VC1104,,BOOK VC,,BOOK V112,,BOOK V136,BOOK V136,BOOK V119,,BOOK V145,BOOK VC1504,BOOK V112,BOOK V112,,,BOOK V145,BOOK V162,BOOK V145,BOOK V145,BOOK V102,,BOOK VC2006,BOOK V112,BOOK V142,BOOK V145,BOOK V127,BOOK VC2404,BOOK V170,BOOK V136,BOOK V112,BOOK VC2804,BOOK VC1204,BOOK VC2404,BOOK VC1604,BOOK V154,BOOK VC1004,BOOK V112,BOOK VC1905,BOOK V110,BOOK V127,BOOK VC2204,BOOK VC1707,BOOK VC1204,BOOK V136,BOOK VC0206,BOOK VC1305,BOOK V112,BOOK V145,BOOK VC2307,BOOK VC1408,BOOK VC1405,BOOK V119,BOOK VC2907,,BOOK V112,,,,,,,,,BOOK VC2108,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BORNEO II       8,500,000/Pax                  Upper Deck                     Deluxe",,,,,,,,,,,,,,,,BOOK VC1104,,BOOK VC,BOOK V146,BOOK V112,,BOOK V119,BOOK V136,BOOK V145,,BOOK VC0505,BOOK V110,BOOK V145,BOOK V136,,,BOOK V108,BOOK V162,BOOK V144, FREE V146,BOOK V145,,BOOK V158,BOOK V136,BOOK V107,BOOK V161,BOOK V127,BOOK V150,BOOK V112,BOOK V112,BOOK V145,BOOK V162,BOOK VC2804,BOOK V150,BOOK V137,BOOK VC3004,BOOK V112,BOOK V110,BOOK VC2506,BOOK V120,BOOK VC1704,BOOK V106,BOOK VC1207,BOOK VC1204,BOOK V102,BOOK V112,BOOK VC0109,BOOK V145,BOOK VC2908,BOOK V112,BOOK VC1408,HOLD HEF,BOOK VC2608,BOOK V142,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JAVA I                 8,500,000/Pax             Main Deck                Deluxe",,,,,,,,,,,,,,,,BOOK VC1104,,BOOK VC,BOOK V142,BOOK V148,,BOOK V119,BOOK V112,BOOK V112,,BOOK V152,BOOK VC1405,BOOK V112,,,,BOOK VIN,BOOK V112,BOOK V112,BOOK V112,BOOK V119,,BOOK V153,BOOK V160,BOOK V112,BOOK V145,BOOK V127,BOOK V112,BOOK V145,BOOK V112,BOOK VC1405,BOOK V137,BOOK VC1405,BOOK V112,BOOK V112,BOOK V112,BOOK V147,BOOK V112,BOOK V102,BOOK V144,BOOK V127,BOOK VC0705,BOOK V112,BOOK VC1204,BOOK V136,BOOK V112,BOOK V110,BOOK V110,BOOK VC2508,BOOK VC1607,BOOK V168,BOOK V175,BOOK V112,,BOOK VC0509,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JAVA II                 8,500,000/Pax             Main Deck                Deluxe",,,,,,,,,,,,,,,,BOOK VC1104,,BOOK VC,,BOOK V148,,BOOK VC1504,BOOK V129,BOOK V145,,BOOK V112,BOOK ORI,,BOOK V145,,,BOOK V157,,BOOK VC1905,FREE V118,BOOK V112,,BOOK VC1905,BOOK V112,BOOK V145,BOOK V161,BOOK V112,BOOK V150,BOOK V112,BOOK VC3005,BOOK VC0206,BOOK V137,BOOK V175,BOOK VC1906,BOOK V112,BOOK V112,BOOK V102,BOOK V112,BOOK V162,BOOK V162,BOOK V107,BOOK VC0707,BOOK VC1207,BOOK VC1204,BOOK V136,BOOK V136,BOOK V112,HOLD SLM,,BOOK VC1607,BOOK V168,HOLD EIT.,,,BOOK VC0509,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Booked Private Trip,,,,,,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,Booked Private Trip,Booked Private Trip,,Open Trip in Weekdays,,Open Trip in Weekdays,,Booked Private Trip,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,Open Trip in Weekdays,,,,Open Trip in Weekdays,
