,,Private Bathroom,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,DELUXE CABIN TWIN 4,LOWER DECK(Twin Bed),,,,,,,,,,Komlux-0210,Komodolux-5651,,Phinisi trip ind,,Manuela-Rossy,Travass(Amedeo),BLUE SKY, Wanderis-1232,,TRAVASS ,TRAVASS (Oriol),,Costa,,,,TRAVAS-Sebastian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Private Bathroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROOM,PUBLISH PRICE,AGENT COMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASTER PANORAMIC BALCONY,Rp 10.500.000 /pax,Rp 1.000.000 /pax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASTER SUITE BALCONY,Rp 9.500.000 /pax,Rp 1.000.000 /pax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELUXE CABIN 1,Rp 7.500.000 /pax,Rp 1.000.000 /pax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELUXE CABIN 2,Rp 7.500.000 /pax,Rp 1.000.000 /pax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELUXE CABIN TWIN 3,Rp 5.500.000 /pax,Rp 1.000.000 /pax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELUXE CABIN TWIN 4,Rp 5.500.000 /pax,Rp 1.000.000 /pax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
